Video_Links,Video_Descriptions
https://youtu.be/eTj-Njh0Tlc,What do we know about the Iran protests? | DW News
https://youtu.be/12nLyhaXQH0,Protests erupt in Iran — here's why they're different
https://youtu.be/2t0e7mxd7vk,Iran government shuts down internet access amid protests
https://youtu.be/2Q9zYz9VnGw,"Iran Protest, 16 November 2019, Baharestan-Tehran"
https://youtu.be/QYcR3KFR5ao,"Iran Protests, November 2019, Shiraz"
https://youtube.com/shorts/FU0UnFKehww?feature=share,"Iran Protests, November 2019, Robatkarim"
https://youtu.be/V7TWMnzd-Qc,Iran Rocked By Deadly Fuel Protests
https://youtu.be/wU-6AoVqUVM,Protests continue over fuel prices (Iran) - BBC News - 19th November 2019
https://youtu.be/-yogsesQD4I,Warning to demonstrators (Iran) - BBC News - 17th November 2019
https://youtu.be/0JK5u_PDAIc,Iranian Anti-government Protests Spawn Heavy Military Presence in Capital
https://youtu.be/Gx-O1RHG-Pk,Dozens Killed and Injured During Protests in Iran
https://youtu.be/ynwgPg32iFo,Iranians Protest Over Hike In Gas Prices
